,latitude,longitude,name
466,38.616307,-121.4225354,1904 HELENA AVE
467,38.63909731,-121.44136529999999,3916 BELDEN ST
468,38.51364018,-121.4211919,7060 ROCK CREEK WAY
469,38.54368712,-121.44430790000001,5241 9TH AVE
470,38.60672341,-121.47559229999999,NORTHGATE BLVD / JEFFERSON AVE
471,38.66321971,-121.52764760000001,2951 LOGANSPORT DR
472,38.54242538,-121.4757955,FRANKLIN BLVD / 11TH AVE
473,38.487682799999995,-121.4716869,TORRANCE AVE / 32ND ST
474,38.574057700000004,-121.5081215,1800 2ND ST
475,38.49442501,-121.47490390000002,55 QUASAR CIR
476,38.56940412,-121.4417047,H ST / 50TH ST
477,38.56480438,-121.4781317,2420 S ST
478,38.61611679999999,-121.45293079999999,2681 FAIRFIELD ST
479,38.56654113,-121.4436297,4830 J ST
480,38.57688189,-121.4783232,21ST ST / I ST J ST ALY
481,38.50336488,-121.5391044,316 ROUNDTREE CT
482,38.57991197,-121.4966071,8TH ST / K ST
483,38.48155327,-121.4608538,BROOKFIELD DR / TEAK CT
484,38.63252107,-121.4529344,3581 TAYLOR ST
